ID WP,Subject,Type,Status,Assignee,Priority,Team,Work,Project,Finish date,Spent time,Start date,Created on,Updated on,Description
156,Drive Mode,Feature,In testing,,High,,,VNRacing,2026-02-04,P27DT3h35M23S,2025-10-28,2025-10-26T08:00:36.133Z,2026-02-03T08:09:47.529Z,"Feature tập hợp các tính năng liên quan tới cảm giác lái của xe, bao gồm:

*   Lái xe bình thường, Drift, sử dụng NOS.
    
*   Va chạm với môi trường, với xe khác.
    
*   Sử dụng các công cụ đặc biệt trong cuộc đua như Ramp, Pad Boost tốc độ."
197,"    Tôi muốn cảm giác Arcade nhưng vẫn có yếu tố va chạm,nhưng tôi không muốn xe lật ",User story,,,,Game Design,,VNRacing,2026-02-03,P10DT5h6M,2025-11-04,2025-10-28T02:45:30.538Z,2026-02-03T08:22:33.099Z,
218,"    Tôi muốn trong khi đua,có phần infor của các player,có rank player - player title",User story,,,,,,VNRacing,2026-02-02,P6DT23h,2025-11-06,2025-10-28T08:36:11.210Z,2026-01-31T04:34:36.194Z,
392,In-Game Mini Map,User story,,Phuoc Ho Duc,,,,VNRacing,2026-01-12,P2DT1h34M48S,2025-11-04,2025-11-04T10:17:27.476Z,2026-01-23T07:54:06.293Z,"Là người chơi, tôi muốn có phần mini map trong lúc đua để có thể theo dõi chặng đua, Mini Map đẹp, dễ quan sát trên màn hình điện thoại"
1777,"Tôi muốn có cảm giác thoả mãn về chiếc xe của mình khi bắt đầu đua, Góc máy đẹp - Cinematic scene",User story,,Phuoc Ho Duc,,,,VNRacing,2026-01-29,17h,2025-10-28,2026-01-20T07:44:33.702Z,2026-01-24T07:58:11.651Z,
1995,"Là Player, tôi muốn xe có khả năng sử dụng các bục Ramp để bay lên cao, tạo cảm giác lái đa dạng hơn trong quá trình đua.",User story,,Phuoc Ho Duc,,,,VNRacing,2026-02-04,P5DT23h24M36S,2025-11-04,2026-01-29T02:27:50.312Z,2026-02-03T04:25:35.383Z,"Điều kiện hoàn thành:

<br>

1\. Hoàn thành chức năng sử dụng Ramp và cân bằng xe khi tiếp đất:

*   Xe có khả năng sử dụng Ramp để bay lên cao.
    
*   Xe có khả năng tự động ổn định khi tiếp đất.
    
*   Xe có khả năng tự động điều khiển hạn chế khi ở trên không.
    
*   Các khả năng điều khiển trên không và tự động cân bằng có thể được áp dụng trong các trường hợp xe đổi độ cao từ cao xuống thấp.
    

<br>

2\. GD cung cấp đủ các tài liệu:

*   Mô tả chức năng sử dụng Ramp của xe.
    
*   Control của xe khi ở trên không và cảm giác tiếp đất.
    
    <br>
    

3\. Dev hoàn thành các chức năng được mô tả trong GDD:

*   Phát triển các tính năng được mô tả trong GDD.
    
*   Các tính năng mới không xung đột với các chức năng cũ.
    
*   Các tính năng mới không gây ra Bug, hoạt động ổn định.
    
    <br>
    

4\. Performance

*   Các tính năng liên quan tới US không làm tụt FPS của Game.
    

<br>

5\. Sound &amp; Music

*   SFX liên quan tới các hoạt động của xe trên Screen.
    

<br>

<br>

<br>"
2039,"(Skill) Là Player, tôi muốn khi thực hiện các Skill trong khi đua sẽ được thưởng bằng cách Refill thanh NOS để có động lực thực hiện các kỹ năng này nhiều hơn.",User story,,,,,,VNRacing,2026-02-02,15h30M,2025-12-22,2026-01-30T02:20:28.566Z,2026-02-03T08:09:47.499Z,"Điều kiện hoàn thành:  
1\. Thực hiện chức năng Skill:

*   Định nghĩa, phân loại các Skill và số lượng NOS tăng khi thực hiện các Skill đó.
    
*   Update Skill lên UI.
    
    <br>
    

2\. GD cung cấp tài liệu mô tả các chức năng:

*   Các thông tin về phân loại và định nghĩa Skill, phương pháp kích hoạt.
    
*   Quy định số lượng NOS tăng khi thực hiện các Skill.
    
*   Thông tin hiển thị trên màn hình khi kích hoạt Skill
    

3\. UI/UX:

*   Thiết kế giao diện hợp lý để người chơi có thể thấy được các thông tin cần thiết trên màn hình.
    
*   Animation và FX đầy đủ cho các Elements trong UI.
    

4\. Concepts &amp; 2D:

*   Cung cấp các Asset cần thiết cho UI.
    
*   Cung cấp các Concepts khác cần thiết cho tính năng nếu cần thiết.
    

5\. Dev:

*   Phát triển các tính năng được mô tả trong GDD.
    
*   Đảm bảo các tính năng không xung đột với các tính năng đã có.
    
*   Đảm bảo các tính năng không bị Bug.
    

6\. Performance:

*   Các tính năng liên quan tới US không làm tụt FPS của game.
    

7\. Sound &amp; Music:

*   SFX liên quan tới các tương tác trên Screen."
2047,End Game Screen Result & Rewards,User story,,,,,,VNRacing,2026-01-31,0S,2025-10-28,2026-01-30T06:07:43.114Z,2026-01-30T06:09:36.430Z,"Là Player, tôi muốn có một bảng thống kê kết quả và phần thưởng khi kết thúc một cuộc đua.

Điều kiện hoàn thành:  
1\. Thực hiện chức năng Screen Result:

*   Chức năng hiển thị kết quả cuộc đua và các thông tin cần thiết khi người chơi kết thúc cuộc đua.
    
*   Chức năng trao thưởng dựa trên hệ thống Progression.
    
*   Update thông tin cuộc đua liên tục ngay cả khi người chơi về đích.
    

2\. GD cung cấp tài liệu mô tả các chức năng:

*   Các thông tin về phân loại và định nghĩa Screen Results, điều kiện kích hoạt.
    
*   Các cơ chế liên quan khi kích hoạt Screen Results.
    
*   Mối quan hệ với cơ chế trao thưởng trong Progression.
    

3\. UI/UX:

*   Thiết kế giao diện hợp lý để người chơi có thể thấy được các thông tin cần thiết trên màn hình.
    
*   Animation và FX đầy đủ cho các Elements trong UI.
    

4\. Concepts &amp; 2D:

*   Cung cấp các Asset cần thiết cho UI.
    
*   Cung cấp các Concepts khác cần thiết cho tính năng nếu cần thiết.
    

5\. Dev:

*   Phát triển các tính năng được mô tả trong GDD.
    
*   Đảm bảo các tính năng không xung đột với các tính năng đã có.
    
*   Đảm bảo các tính năng không bị Bug.
    

6\. Performance:

*   Các tính năng liên quan tới US không làm tụt FPS của game.
    

7\. Sound &amp; Music:

*   SFX liên quan tới các tương tác trên Screen."
2048,Pause Game,User story,,,,,,VNRacing,2026-01-31,0S,2025-10-28,2026-01-30T06:17:53.837Z,2026-01-30T06:17:53.988Z,"Là Player, tôi muốn có khả năng Pause Game giữa cuộc đua để làm công việc khác sau đó quay trở lại.

Điều kiện hoàn thành:  
1\. Thực hiện chức năng Pause Game:

*   Hoàn thành chức năng Pause Game.
    
*   Chỉnh sửa ảnh hưởng của Pause Game lên các chức năng khác.
    
*   Kết nối với chức năng Game Setting.
    

2\. GD cung cấp tài liệu mô tả các chức năng:

*   Định nghĩa Pause Game và cách kích hoạt.
    
*   Ảnh hưởng của Pause Game lên các chức năng khác.
    
*   Kết nối Pause Game với chức năng Game Settings.
    

3\. UI/UX:

*   Thiết kế giao diện hợp lý để người chơi có thể thấy được các thông tin cần thiết trên màn hình.
    
*   Animation và FX đầy đủ cho các Elements trong UI.
    

4\. Concepts &amp; 2D:

*   Cung cấp các Asset cần thiết cho UI.
    
*   Cung cấp các Concepts khác cần thiết cho tính năng nếu cần thiết.
    

5\. Dev:

*   Phát triển các tính năng được mô tả trong GDD.
    
*   Đảm bảo các tính năng không xung đột với các tính năng đã có.
    
*   Đảm bảo các tính năng không bị Bug.
    

6\. Performance:

*   Các tính năng liên quan tới US không làm tụt FPS của game.
    

7\. Sound &amp; Music:

*   SFX liên quan tới các tương tác trên Screen."
157,"    Tôi muốn có cảm giác đua xe arcade,drift thu thập nos",User story,,,,,,VNRacing,2026-01-30,P3DT2h19M48S,2025-11-12,2025-10-26T08:00:38.243Z,2026-01-30T07:17:43.196Z,
205,User Profiles,Feature,New,,Normal,,,VNRacing,2026-01-30,P7DT6h1M12S,2025-11-01,2025-10-28T03:17:39.109Z,2026-01-30T09:32:12.811Z,
206,"(UserProfile) Là Player, tôi muốn được xem các thông tin tổng quan về quá trình chơi của tôi (Giờ chơi, số lượng Track đã Unlock, v.v) để tự bao quát được quá trình chơi Game này.",User story,,,,,,VNRacing,2026-01-30,P7DT6h1M12S,2025-11-01,2025-10-28T03:18:11.141Z,2026-01-30T09:32:12.784Z,"Điều kiện hoàn thành:  
1\. Thực hiện chức năng UserProfile:

*   Cho phép người chơi xem được các thông tin tổng quan của mình trong quá trình chơi Game.
    
*   Cho phép người chơi thực hiện các tác vụ cơ bản như đổi tên, xem player ID, đổi Avatar, v.v.
    

2\. GD cung cấp tài liệu mô tả các chức năng:

*   Các thông tin sẽ hiển thị trên User Profile.
    
*   Các chức năng người dùng có thể thực hiện được trong User Profile.
    

3\. UI/UX:

*   Thiết kế giao diện hợp lý để người chơi có thể thấy được các thông tin cần thiết trên màn hình.
    
*   Thiết kế các luồng giao diện phụ để người chơi có thể truy cập các tính năng trong này.
    
*   Animation và FX đầy đủ cho các Elements trong UI.
    

4\. Concepts &amp; 2D:

*   Cung cấp các Asset cần thiết cho UI.
    
*   Cung cấp các Concepts khác cần thiết cho tính năng nếu cần thiết.
    

5\. Dev:

*   Phát triển các tính năng được mô tả trong GDD.
    
*   Đảm bảo các tính năng không xung đột với các tính năng đã có.
    
*   Đảm bảo các tính năng không bị Bug.
    

6\. Performance:

*   Các tính năng liên quan tới US không làm tụt FPS của game.
    

7\. Sound &amp; Music:

*   Nhạc nền riêng khi vào Screen của US này.
    
*   SFX liên quan tới các tương tác trên Screen."
210,Technical Art,Epic,In progress,,Normal,,,VNRacing,,P13DT10h,2025-10-28,2025-10-28T04:13:43.718Z,2026-02-03T02:38:07.728Z,"Yêu cầu kỹ thuật cho Hạng mục Technical Art&nbsp;

1.  Style &amp; Art Breakdown
    
    Tài liệu thể hiện việc lựa chọn Style, các đặc điểm mỹ thuật từ các game tham khảo,
    
    <br>
    
2.  Technology  
    Engine sử dụng
    
    Platform
    
    Rendering method
    
    Lighting Techniques 
    
    Shadown Techniques
    
    Assets Making techniques 
    
    FX Making Techniques
    
    <br>
    
3.  Stresss Test
    
    Bài test một level mẫu để đảm bảo các yếu tố 2 và 1 được lựa chọn đúng đắn, nếu không đúng phải lặp lại quy trình 
    
    <br>
    
4.  level &amp; Scene config
    
    Hướng dẫn lighting config và scene config cho level Desinger, ghi rõ các thống số và mức tải.
    
    <br>
    
5.  Assets Guide line
    
    Viết tài liệu hướng dẫn về 
    
    <br>
    
6.  Optimization techniques"
1962,In-Game Performance,User story,,Phu Pham,,,,VNRacing,2026-02-05,P4D,2026-01-06,2026-01-27T04:08:19.075Z,2026-02-02T01:48:40.854Z,"Là Technical Art, Tôi muốn toàn bộ assets được đưa vào game đảm bảo hiệu năng và thẩm mỹ,&nbsp;  
  
AC:   
Có documentation cho toàn bộ Assets cần đưa vào các Level.   
Có stress test để giải thích hiệu năng cho toàn bộ Assets.  
Có hướng optimize cho Asset và Level"
1963,Main Character Assets Guideline,User story,,,,,,VNRacing,2026-01-23,9h,2026-01-06,2026-01-27T04:33:04.738Z,2026-01-29T02:06:58.958Z,
217,Game Scene,Epic,New,,Normal,,,VNRacing,2025-12-31,0S,2025-12-31,2025-10-28T08:21:32.260Z,2025-12-31T08:09:00.932Z,
1416,Hoi An Level,User story,,Phuoc Ho Duc,,,,VNRacing,,0S,2025-12-31,2025-12-31T08:04:42.726Z,2025-12-31T08:06:30.861Z,"As Player, I want to race in Hoi An Town, Culture - Architect - Vietnamese Style"
221,Play Online,Feature,On hold,,Normal,,,VNRacing,2025-11-03,P2DT4h36S,2025-10-30,2025-10-28T10:57:17.882Z,2026-01-29T03:41:57.548Z,
222,    Tôi muốn được chơi game với các player khác một cách ngẫu nhiên,User story,,Phuoc Ho Duc,,,,VNRacing,2025-11-03,P2DT4h36S,2025-10-30,2025-10-28T10:57:19.774Z,2026-01-29T03:41:57.670Z,
488,    Tôi muốn được chơi game với bạn bè của tôi thông qua kết bạn,User story,,,,,,VNRacing,,0S,,2025-11-10T07:46:52.099Z,2026-01-06T01:37:06.113Z,
331,Shop&IAP,Feature,In progress,,Normal,,,VNRacing,2025-11-10,0S,2025-11-03,2025-11-03T06:13:15.357Z,2026-01-09T07:31:02.757Z,
332,"     Tôi muốn có thêm nhiều thời gian chơi, không có gặp quảng cáo, và có khởi đầu tốt hơn các player khác",User story,,,,,,VNRacing,2025-11-03,0S,2025-11-03,2025-11-03T06:15:53.530Z,2026-01-29T04:18:22.727Z,
489,"    Tôi muốn các item nâng cấp phải thật sự đáng giá, hợp lý và đẹp",User story,,,,,,VNRacing,,0S,2025-11-10,2025-11-10T08:33:26.297Z,2026-01-09T07:31:13.769Z,
337,Race Mode,Feature,New,,Normal,,,VNRacing,2026-01-26,P1DT3h10M12S,2025-11-03,2025-11-03T07:21:32.565Z,2026-01-27T15:38:53.112Z,
338,    Tôi muốn có nhiều Race Mode chơi,User story,,,,,,VNRacing,2026-01-26,P1DT3h10M12S,2025-11-04,2025-11-03T07:22:20.750Z,2026-01-26T02:51:01.568Z,
1879,"Là player, Tôi muốn có Race Mode Time Atack",User story,,,,,,VNRacing,2026-01-12,4h10M12S,2026-01-12,2026-01-23T08:28:50.988Z,2026-01-23T08:41:24.607Z,
339,"    Tôi muốn có các thử thách phụ ngẫu nhiên trong mỗi màn chơi, hoàn thành thì sẽ nhận được phần thưởng",User story,,,,,,VNRacing,,0S,2025-11-03,2025-11-03T07:22:44.152Z,2025-11-10T07:32:54.617Z,
340,Car Customize,Feature,In specification,,Normal,,,VNRacing,2026-02-07,P14DT5h16M48S,2025-11-01,2025-11-03T07:26:44.576Z,2026-02-03T03:49:31.306Z,
341,    Tôi muốn độ phần visual xe,User story,,,,,,VNRacing,2026-01-27,P7DT21h24M36S,2025-11-01,2025-11-03T07:29:16.837Z,2026-02-03T03:49:31.279Z,"Là player, tôi muốn thay đổi ngoại hình của xe, có thể đổi từng bộ phận - đổi màu xe - thêm decal cho xe"
342,"Là Player, tôi muốn độ phần Performance xe mà tôi yêu thích, sử dụng các tài nguyên thu thập được trong quá trình chơi để tăng tính sở hữu và cảm giác thành tựu khi chơi Game.",User story,,Phuoc Ho Duc,,,4h,VNRacing,2026-02-05,P3DT2h40M12S,2025-11-01,2025-11-03T07:29:59.550Z,2026-02-02T09:20:21.770Z,"Tiêu chí hoàn thành:&nbsp;  
1- Có Design rõ ràng về chức năng nâng cấp Performance:

*   GD bổ sung chức năng nâng cấp Customize Performance.
    
*   GD bổ sung các điều kiện cần thiết để nâng cấp.
    
*   GD đảm bảo cảm giác nâng cấp có sự kích thích và tạo hứng thú cho người chơi.
    
*   GD bổ sung các tài liệu bổ sung cần thiết cho các bên để hoàn thành US.
    
    <br>
    

2 - UI/UX

*   Luồng vào chức năng thuận tiện dễ hiểu.
    
*   Các phím chức năng rõ ràng dễ thao tác, hiển thị đúng các yêu cầu cần thiết để nâng cấp xe.
    
*   Đặt cùng chỗ với chức năng Customize Visual để thuận tiện cho người chơi khi thao tác.
    
*   Không có lỗi UI/UX.
    
    <br>
    

3 - Chức năng của Customize Performance

*   Đảm bảo đúng các chức năng liệt kê của GD.
    
*   Chức năng không gây xung đột với các chức năng hiện có.
    
*   Chức năng hoạt động ổn định, không có lỗi.
    

4 - Performance

*   Chức năng không gây tụt Performance của Game."
1734,"Tôi muốn có bộ sưu tập xe, Có nhiều lựa chọn - unlock - mua",User story,,,,,,VNRacing,2026-01-20,0S,2026-01-20,2026-01-17T03:38:07.779Z,2026-01-23T07:24:52.831Z,
1831,"Là Player, Tôi muốn có tính năng Customize ",User story,,Phuoc Ho Duc,,,,VNRacing,2026-02-07,P1DT19h30M,2025-12-11,2026-01-22T02:20:15.607Z,2026-02-03T02:38:22.695Z,"<img class=""op-uc-image op-uc-image_inline"" src=""/api/v3/attachments/1900/content"">

Điều kiện hoàn thành:&nbsp;

<br>

1\.  Level Garage:

*   3D, người chơi có thể xoay Camera xung quanh xe.
    
*   Thấy được xe của người chơi đang sử dụng, update khi người chơi đổi xe.
    
*   Level Garage đáp ứng về mặt mỹ thuật, tôn lên vẻ đẹp của xe.
    
*   Không có lỗi Graphic (Dăm hình, xuyên Mesh, v.v)
    
*   Level Garage dùng chung cho 2 chức năng Car Customize và Car Selection.
    

2\. UI MainMenu:

*   Đẹp và gọn gàng, thể hiện đẩy đủ các thông tin, có đầy đủ Animation và FX khi tương tác:
    
    *   Oveview tình trạng tiền Cash và Click đang sở hữu.
        
    *   Thông tin Tooltips nếu Game State đạt đủ điều kiện kích hoạt.
        
*   Đầy đủ lối tắt tới các chức năng chính của Game:
    
    *   Về Main Menu.
        
    *   Đổi Xe.
        
    *   Customize Xe.
        
    *   Vào thùng đồ.
        
    *   Xem thông tin User Profile.
        
    *   Xem thông tin Achievement.
        
    *   Đổi Setting Game.
        
    *   Vào Shop mua sắm.
        
    *   Xem tin nhắn gửi tới từ hệ thống.
        
*   Không có lỗi UI (Tai thỏ, tràn viền, v.v)
    

3\. Performance:

*   Ổn định ở mức 60FPS trên Target máy. (iOS &amp; Android)
    
*   Không làm nóng máy khi để Idle trong khoảng 30 phút.
    

4\. Sound &amp; Music:

*   Nhạc nền cho Garage.
    
*   Các SFX khi tương tác với các chức năng UI và các sự kiện khác trên Screen này."
343,Progression,Feature,New,Phuoc Ho Duc,Normal,,,VNRacing,2026-02-07,P13DT11h1M48S,2025-11-01,2025-11-03T07:35:26.076Z,2026-02-02T15:11:12.750Z,
334,Tutorials,Feature,New,,Normal,,,VNRacing,2025-12-04,P10DT7h,2025-11-25,2025-11-03T06:22:03.510Z,2026-02-02T08:24:47.958Z,
335,    Tôi muốn tutorial cho tôi biết các thông tin cần thiết trong lần đua đầu tiên,User story,,Phuoc Ho Duc,,,,VNRacing,2025-12-04,P10DT7h,2025-11-25,2025-11-03T06:22:50.570Z,2026-02-02T08:32:26.201Z,
336,    Tôi muốn có một số hướng dẫn phụ cho các tính năng phụ trong game bằng hình thức pop up thông tin ,User story,,,,,,VNRacing,2025-11-03,0S,2025-11-03,2025-11-03T06:23:18.097Z,2025-11-18T06:47:38.113Z,
345,"    Trong quá trình phá đảo, tôi muốn sưu tập thêm nhiều xe mới",User story,,,,,,VNRacing,2026-01-15,10h30M,2025-11-06,2025-11-03T07:36:23.051Z,2026-01-29T07:49:09.583Z,
346,"    Trong quá trình phá đảo, tôi muốn xe tôi được nâng cấp thêm ",User story,,,,,,VNRacing,2025-11-03,0S,2025-11-03,2025-11-03T07:36:38.845Z,2025-11-18T06:36:35.830Z,
348,    Tôi muốn trải nghiệm 10 phút đầu chơi game hấp dẫn,User story,,,,,,VNRacing,2026-01-12,2h,2026-01-12,2025-11-03T07:37:31.104Z,2026-01-14T15:47:38.911Z,
